id,nome,contrib_open_source,programa_hobby,salario,sistema_operacional_id,pais_id,empresa_id
3337,respondent_3337,No,Yes,26722.39,4,86,5
22781,respondent_22781,No,Yes,24864.38,4,130,2
84307,respondent_84307,No,Yes,1489.71,1,50,4
70188,respondent_70188,Yes,Yes,22814.28,2,115,4
84606,respondent_84606,No,Yes,38100.0,4,130,8
29558,respondent_29558,Yes,Yes,21290.28,4,31,7
91843,respondent_91843,No,No,42545.0,4,130,3
98384,respondent_98384,Yes,Yes,0.0,1,50,8
13165,respondent_13165,No,Yes,5055.87,2,100,3
87475,respondent_87475,Yes,Yes,0.0,3,34,4
4390,respondent_4390,Yes,Yes,1371.6,4,50,3
4150,respondent_4150,No,No,47625.0,2,130,6
78985,respondent_78985,No,Yes,3032.76,4,40,0
61581,respondent_61581,No,Yes,18743.3,2,128,6
42883,respondent_42883,No,No,17640.94,4,128,4
62152,respondent_62152,Yes,Yes,3032.76,4,100,4
35047,respondent_35047,No,Yes,5730.24,2,74,3
58660,respondent_58660,Yes,No,21371.88,4,56,4
31921,respondent_31921,Yes,Yes,0.0,3,17,7
5470,respondent_5470,No,Yes,95250.0,4,130,5
89635,respondent_89635,Yes,Yes,47625.0,2,130,8
36824,respondent_36824,No,Yes,3337.56,4,2,4
3953,respondent_3953,Yes,Yes,63500.0,2,130,4
12191,respondent_12191,No,Yes,0.0,3,5,8
12313,respondent_12313,No,Yes,5600.7,4,94,4
36845,respondent_36845,No,No,6995.16,4,99,4
31668,respondent_31668,No,No,0.0,3,130,6
59416,respondent_59416,Yes,Yes,28666.44,4,128,0
4140,respondent_4140,No,Yes,20452.4,4,21,7
86203,respondent_86203,Yes,No,0.0,4,50,8
63236,respondent_63236,No,Yes,28575.0,2,130,8
25823,respondent_25823,No,Yes,0.0,2,74,1
56467,respondent_56467,Yes,Yes,23313.39,2,111,8
24521,respondent_24521,Yes,No,6065.52,4,100,4
50782,respondent_50782,Yes,No,27845.07,2,83,1
81459,respondent_81459,No,Yes,0.0,3,11,4
67094,respondent_67094,Yes,Yes,20594.95,2,82,3
31565,respondent_31565,Yes,Yes,4175.76,4,50,2
11844,respondent_11844,Yes,Yes,23812.5,1,130,6
79674,respondent_79674,No,Yes,19845.97,4,128,6
5541,respondent_5541,Yes,Yes,0.0,3,50,4
96804,respondent_96804,No,Yes,9685.02,1,17,1
18873,respondent_18873,Yes,Yes,0.0,1,44,8
57440,respondent_57440,Yes,Yes,0.0,3,100,8
77524,respondent_77524,No,Yes,4705.35,4,74,0
8706,respondent_8706,No,Yes,0.0,4,51,3
71210,respondent_71210,Yes,Yes,13230.54,2,128,8
52266,respondent_52266,No,Yes,7562.85,4,48,0
85335,respondent_85335,Yes,Yes,31750.0,4,130,4
64683,respondent_64683,No,Yes,16709.07,1,40,4
36675,respondent_36675,Yes,No,23812.5,2,130,0
87937,respondent_87937,Yes,Yes,2259.33,4,17,6
38655,respondent_38655,Yes,No,0.0,3,89,3
17260,respondent_17260,Yes,Yes,17773.97,1,7,3
48556,respondent_48556,No,Yes,0.0,1,50,4
12514,respondent_12514,Yes,Yes,7578.09,1,56,8
5824,respondent_5824,Yes,Yes,45878.75,2,130,0
62439,respondent_62439,No,Yes,0.0,2,128,8
38672,respondent_38672,Yes,Yes,5707.38,4,52,6
88759,respondent_88759,No,Yes,1270.0,2,130,8
37921,respondent_37921,No,No,57150.0,2,130,2
2772,respondent_2772,No,Yes,3976.37,4,50,2
84273,respondent_84273,Yes,Yes,46629.64,2,82,2
44635,respondent_44635,No,Yes,46630.59,4,42,4
82263,respondent_82263,No,Yes,5943.6,4,17,4
69155,respondent_69155,Yes,Yes,42862.5,2,130,7
6696,respondent_6696,No,Yes,138055.35,1,21,4
16711,respondent_16711,Yes,Yes,21389.34,2,115,4
26755,respondent_26755,Yes,Yes,0.0,4,65,8
49528,respondent_49528,Yes,No,317500.0,3,7,3
45466,respondent_45466,No,Yes,21450.3,4,42,3
69707,respondent_69707,No,Yes,17780.0,4,130,4
23643,respondent_23643,Yes,Yes,39612.57,4,7,8
80579,respondent_80579,Yes,Yes,11891.01,4,13,4
18797,respondent_18797,Yes,Yes,317500.0,3,42,2
95168,respondent_95168,No,Yes,28575.0,4,130,0
54740,respondent_54740,Yes,Yes,17251.68,2,67,3
86764,respondent_86764,No,No,7459.98,2,56,7
64278,respondent_64278,Yes,Yes,8489.32,2,50,1
43828,respondent_43828,Yes,Yes,26199.78,1,42,6
57700,respondent_57700,No,Yes,9003.03,1,93,4
97651,respondent_97651,No,No,25400.0,2,130,1
49282,respondent_49282,Yes,No,16320.45,1,44,3
56547,respondent_56547,Yes,Yes,10636.25,1,130,4
93541,respondent_93541,No,No,8946.52,2,50,3
75161,respondent_75161,No,Yes,12434.57,2,40,4
47018,respondent_47018,No,No,0.0,3,111,8
73872,respondent_73872,No,No,16440.15,4,55,3
